City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
199,khambhat,22.3,72.6167,18.14,25,0,3.94,IN,1709683379
200,galvez,-32.0293,-61.221,21.62,55,0,1.91,AR,1709683379
201,quellon,-43.1167,-73.6167,11.39,88,51,2.79,CL,1709683356
202,bodden town,19.2833,-81.25,27.0,81,20,3.6,KY,1709683380
203,longgang,37.6508,120.3286,1.73,59,100,8.72,CN,1709683380
204,igrim,63.1906,64.4162,-23.86,100,96,1.83,RU,1709683380
205,sitka,57.0531,-135.33,1.94,75,75,1.54,US,1709682909
206,khilok,51.3674,110.4676,-17.02,96,94,1.4,RU,1709683380
207,san patricio,28.017,-97.5169,29.97,42,0,2.61,US,1709682937
208,baruun-urt,46.6806,113.2792,-22.44,100,81,2.74,MN,1709683381
209,namtsy,62.7161,129.6658,-28.04,100,100,0.48,RU,1709683381
210,sake,-1.5736,29.045,16.93,94,100,0.72,CD,1709683136
211,mitsamiouli,-11.3847,43.2844,28.46,81,51,5.73,KM,1709683382
212,bafoulabe,13.8065,-10.8321,31.44,12,7,2.77,ML,1709683382
213,nanakuli,21.3906,-158.1547,26.97,53,75,7.2,US,1709683382
214,udachny,66.4167,112.4,-29.21,100,100,0.48,RU,1709682938
215,ust'-kut,56.7938,105.7672,-16.98,98,99,0.89,RU,1709683383
216,sao francisco,-15.9486,-44.8644,23.3,82,84,0.95,BR,1709683383
217,west valley,46.5921,-120.6051,9.47,35,40,3.6,US,1709683383
218,pumiao,22.75,108.4833,18.22,72,30,4.91,CN,1709683383
219,bryne,58.7354,5.6477,2.54,71,7,1.54,NO,1709683384
220,saint-philippe,-21.3585,55.7679,25.77,87,85,4.57,RE,1709683000
221,ubinskoye,55.3068,79.6802,-9.61,95,100,5.18,RU,1709683384
222,guane,22.2025,-84.0875,24.51,82,5,3.21,CU,1709683384
223,alaghsas,17.0187,8.0168,27.55,9,0,3.93,NE,1709683385
224,nova sintra,14.8667,-24.7167,20.12,73,39,7.25,CV,1709682933
225,baiyin,36.5583,104.2081,-2.77,58,96,0.3,CN,1709682988
226,puerto real,36.5282,-6.1901,10.7,87,0,2.57,ES,1709683385
227,orbottyan,47.6871,19.2824,10.62,82,8,1.57,HU,1709683385
228,palopo,-2.9996,120.1921,25.23,95,100,2.24,ID,1709683386
229,puerto santa,-8.9906,-78.6456,23.96,78,66,3.44,PE,1709682934
230,vinton,37.281,-79.897,20.26,61,75,3.6,US,1709683386
231,tianchang,37.9981,114.0156,1.76,99,100,1.1,CN,1709683319
232,sheldon,43.1811,-95.8561,10.99,22,0,5.66,US,1709683386
233,mejit,10.2753,170.8646,26.44,76,100,11.44,MH,1709683387
234,aykhal,66.0,111.5,-23.5,100,67,0.26,RU,1709683011
235,sitia,35.2,26.0986,14.43,70,1,5.74,GR,1709683387
236,east london,-33.0153,27.9116,19.21,58,10,7.78,ZA,1709682924
237,berdigestyakh,62.0989,126.6992,-26.22,100,100,0.84,RU,1709683388
238,hirara,24.8,125.2833,22.15,94,75,5.14,JP,1709683388
239,mouila,-1.8685,11.0559,24.53,98,100,0.91,GA,1709683388
240,altamont,42.2068,-121.7372,2.1,94,100,2.57,US,1709683389
241,puerto san jose,13.9256,-90.8244,29.03,67,40,5.14,GT,1709683389
242,lata,40.1629,-8.3327,7.26,90,6,1.1,PT,1709682946
243,keflavik,64.0049,-22.5624,6.24,81,75,6.69,IS,1709682942
244,bonthe,7.5264,-12.505,26.0,86,44,3.83,SL,1709682935
245,carros,43.7894,7.184,8.84,44,0,1.54,FR,1709683390
246,arys,42.4252,68.795,2.24,68,92,1.89,KZ,1709683390
247,remire-montjoly,4.9167,-52.2667,26.02,94,75,0.0,GF,1709683000
248,pawni,20.7833,79.6333,21.76,29,59,2.51,IN,1709683390
249,nuuk,64.1835,-51.7216,-7.66,73,100,4.12,GL,1709683390
250,prerov,49.4551,17.4509,6.62,81,69,3.13,CZ,1709683254
251,labrador city,52.9463,-66.9114,0.95,99,100,2.57,CA,1709682922
252,holualoa,19.6228,-155.9522,24.91,77,75,5.66,US,1709683018
253,howrah,22.5892,88.3103,21.0,73,0,3.09,IN,1709683391
254,cuito,-12.3833,16.9333,15.71,94,99,1.32,AO,1709683392
255,klyuchi,52.2667,79.1667,-10.52,91,79,4.17,RU,1709682994
256,hasaki,35.7333,140.8333,5.22,85,100,16.58,JP,1709682925
257,monte alegre de minas,-18.8706,-48.8808,24.31,65,84,1.95,BR,1709683392
258,betio village,1.358,172.9211,26.02,86,100,6.52,KI,1709683393
259,krasnyy kut,50.95,46.9667,-8.63,96,100,0.86,RU,1709683393
260,kone,-21.0595,164.8658,29.92,64,99,2.01,NC,1709683004
261,corn island,12.1694,-83.0418,26.75,77,3,4.05,NI,1709683393
262,poronaysk,49.2167,143.1167,-13.06,77,34,0.86,RU,1709683394
263,naberera,-4.2,36.9333,17.17,96,70,1.12,TZ,1709683394
264,igarka,67.4667,86.5833,-10.36,91,100,6.33,RU,1709682944
265,nguigmi,14.2495,13.1092,27.81,18,80,4.78,NE,1709683029
266,yazman,29.1212,71.7446,12.06,25,7,2.2,PK,1709683395
267,neiafu,-18.65,-173.9833,30.38,79,40,4.12,TO,1709683395
268,nishinoomote,30.7333,131.0,16.31,100,75,6.69,JP,1709683395
269,hollabrunn,48.55,16.0833,8.39,86,51,1.64,AT,1709683395
270,ujae,8.9322,165.7642,26.85,80,99,11.19,MH,1709683396
271,puerto ayora,-0.7393,-90.3518,26.42,92,27,4.02,EC,1709682912
272,villa gesell,-37.2639,-56.973,14.47,68,2,5.05,AR,1709683396
273,rio preto da eva,-2.6994,-59.6997,26.08,84,77,1.22,BR,1709682959
274,gaspe,48.8334,-64.4819,8.12,49,75,4.63,CA,1709683396
275,carbonear,47.7332,-53.2148,0.79,86,90,7.27,CA,1709683397
276,ust'-uda,54.1742,103.0304,-11.87,97,100,1.38,RU,1709683397
277,digras,20.1167,77.7167,22.63,24,78,1.92,IN,1709683397
278,kayangel,8.0823,134.7173,27.12,72,53,6.98,PW,1709682966
279,humaita,-7.5061,-63.0208,25.93,86,65,0.59,BR,1709683397
280,vernon,50.2581,-119.2691,2.91,46,100,3.58,CA,1709682933
281,leposaviq,43.1039,20.8028,7.04,90,86,1.33,XK,1709683398
282,novodvinsk,64.4165,40.8122,-3.14,92,100,1.82,RU,1709683398
283,semirom,31.4167,51.5667,-1.11,86,5,0.52,IR,1709683398
284,kavaratti,10.5669,72.642,27.27,72,65,3.01,IN,1709683398
285,dalandzadgad,43.5708,104.425,-8.92,67,8,3.29,MN,1709682913
286,las heras,-46.5419,-68.9359,17.08,34,92,13.46,AR,1709683217
287,vidyayevo,69.3191,32.8049,-2.13,88,100,2.54,RU,1709683399
288,egilsstadir,65.2653,-14.3948,5.95,75,75,1.54,IS,1709682974
289,toliara,-23.35,43.6667,25.33,91,100,5.96,MG,1709683400
290,coquimbo,-29.9533,-71.3436,18.85,77,75,3.6,CL,1709682950
291,tezu,27.9167,96.1667,14.62,53,43,1.96,IN,1709683400
292,maluso,6.543,121.8753,27.05,72,33,0.43,PH,1709683400
293,la'ie,21.6477,-157.9253,26.98,66,15,6.71,US,1709683400
294,suntar,62.1444,117.6319,-19.56,99,100,1.48,RU,1709683401
295,tadine,-21.55,167.8833,27.34,79,100,5.56,NC,1709683401
296,gazli,40.1333,63.45,6.59,49,100,1.67,UZ,1709683401
297,conde,-7.2597,-34.9075,27.7,89,40,0.51,BR,1709682922
298,binzhou,37.3667,118.0167,1.54,46,100,3.0,CN,1709683401
299,pires do rio,-17.2997,-48.2794,21.41,80,34,1.93,BR,1709683402
300,pisco,-13.7,-76.2167,25.03,73,0,8.23,PE,1709682999
301,el granada,37.5027,-122.4694,16.43,82,100,8.75,US,1709682979
302,itamaraca,-7.7478,-34.8256,30.03,76,94,4.6,BR,1709683402
303,kodiak,57.79,-152.4072,1.73,93,100,2.57,US,1709682910
304,embrun,44.5639,6.4953,1.81,93,96,1.71,FR,1709683403
305,geraldton,-28.7667,114.6,27.23,61,0,5.66,AU,1709682978
306,takoradi,4.8845,-1.7554,26.88,86,85,1.4,GH,1709683403
307,labytnangi,66.6572,66.4183,-26.37,92,95,1.6,RU,1709683403
308,tsiombe,-25.3,45.4833,24.3,93,100,2.43,MG,1709683034
309,bam,29.106,58.357,10.12,69,15,5.19,IR,1709683403
310,guiuan,11.0333,125.7247,27.1,78,100,3.94,PH,1709683404
311,chilecito,-29.1619,-67.4974,22.49,62,85,3.06,AR,1709683225
312,camapua,-19.5314,-54.0439,24.62,71,49,1.74,BR,1709683404
313,mersing,2.4312,103.8405,24.95,94,20,2.06,MY,1709683404
314,veraval,20.9,70.3667,20.19,27,8,4.36,IN,1709682972
315,odda,60.0691,6.5457,0.14,70,73,4.14,NO,1709683405
316,luderitz,-26.6481,15.1594,15.71,81,2,3.86,NA,1709683026
317,beloomut,54.9448,39.3394,-11.59,98,67,2.59,RU,1709683405
318,laranjeiras do sul,-25.4078,-52.4161,18.96,98,86,0.55,BR,1709683302
319,ust-nera,64.5667,143.2,-19.66,97,98,1.67,RU,1709682973
320,gadzhiyevo,69.2551,33.3362,-2.05,87,100,2.62,RU,1709682930
321,novo selo,41.4139,22.8811,7.61,85,29,1.76,MK,1709683406
322,errachidia,31.9275,-4.4285,17.03,17,0,1.03,MA,1709683407
323,hithadhoo,-0.6,73.0833,28.07,78,100,4.64,MV,1709682926
324,merizo village,13.2658,144.6691,28.88,82,11,8.01,GU,1709682971
325,steinbach,50.1667,8.5667,7.54,91,20,1.54,DE,1709683407
326,aswan,24.0934,32.907,20.61,14,0,2.57,EG,1709682963
327,port blair,11.6667,92.75,23.02,94,100,1.03,IN,1709683408
328,zandvoort,52.3749,4.5341,7.21,94,75,1.54,NL,1709683408
329,souillac,-20.5167,57.5167,26.21,83,75,5.66,MU,1709683408
330,javea,38.7833,0.1667,14.36,63,1,0.89,ES,1709683409
331,utrik,11.2278,169.8474,26.28,73,92,11.35,MH,1709682929
332,novyy urengoy,66.0833,76.6333,-18.55,96,100,7.34,RU,1709683409
